Customer_ID,Age,Gender,Annual_Income_USD,Total_Purchase_Amount,Purchase_Frequency_Per_Year,Support_Tickets_Opened,Subscription_Type,Days_Since_Last_Login,Email_Engagement_Rate,Region,Promotion_Response,Churn
1001,56.0,Non-binary,55887.15372537689,4604.854521040237,1,1,Standard,61,0.9608207895588975,Central,No,0
1002,69.0,Male,49035.23778706841,2242.378625525186,27,2,Standard,174,0.9227022435977783,South,No,1
1003,46.0,Non-binary,65778.94784875055,4711.784005811407,45,3,Basic,157,0.6640854383553875,North,No,0
1004,32.0,Male,52602.13201246393,2023.0132754251072,22,1,Basic,200,0.21343033944567913,South,No,0
1005,60.0,Female,46155.7110615927,4763.695836894252,34,0,Basic,162,0.1378838769282712,North,No,0
1006,25.0,Non-binary,23531.429735667032,4636.121039893322,9,1,Basic,306,0.8881596172461139,North,No,1
1007,38.0,Female,53753.42037375092,3336.5817609344194,36,4,Basic,52,0.2877568057612342,North,No,0
1008,56.0,Non-binary,71450.06331244195,143.25253746136391,48,6,Basic,358,0.3765679547738058,East,Yes,1
1009,36.0,Male,73889.74869842577,2061.639941682091,32,2,Standard,256,0.3956561289872901,North,No,1
1010,40.0,Male,55799.18065847305,4565.052135508419,38,2,Standard,257,0.21315138475034823,East,No,1
1011,28.0,Male,41669.344740899105,4437.040416629762,20,4,Basic,100,0.7245753243991325,South,Yes,0
1012,28.0,Male,68541.157832782,1018.200220470957,27,2,Standard,132,0.5750275274497487,North,No,0
1013,41.0,Non-binary,54769.51828529888,2055.9942302486024,3,2,Basic,159,0.8887483489679938,Central,No,0
1014,70.0,Female,,4193.998646609411,11,1,Standard,364,0.21943909252073457,East,No,0
1015,53.0,Male,33161.27620801292,2931.6014809252665,24,2,Basic,350,0.3395029502086693,East,Yes,1
1016,57.0,Non-binary,86556.4221541869,4251.766243886383,29,4,Basic,294,0.4946832291542823,East,No,1
1017,,Female,66075.97673590806,4150.180183797958,5,2,Basic,155,0.4722754080834233,North,Yes,0
1018,20.0,Male,67693.7276285875,4546.661834067167,33,3,Basic,326,0.98162914191955,North,No,1
1019,39.0,Female,42057.86104587842,674.3808821534503,8,3,Standard,50,0.5961638373900596,East,Yes,0
1020,,Male,56196.24501232747,811.5541931222267,19,0,Standard,115,0.4102884434496211,West,Yes,0
1021,19.0,Female,53777.592010607616,505.7642419483573,4,4,Basic,235,0.285217915664731,South,No,1
1022,41.0,Female,66731.41916529342,4682.817321367615,41,1,Basic,330,0.5773531307508293,South,No,0
1023,61.0,Male,75395.77684217208,2428.2956834516763,35,2,Basic,303,0.5466071400602414,Central,Yes,1
1024,47.0,Non-binary,33486.76603964546,415.1938890639959,30,2,Standard,210,0.5080636703773707,Central,No,0
1025,55.0,Female,38879.836030253406,1675.4965223188021,5,1,Basic,26,0.9437763081381213,Central,No,0
1026,19.0,Male,64686.06775566858,1821.9219415368375,48,2,Basic,175,0.5042040541483779,East,No,0
1027,38.0,Female,47379.55960836329,4066.8431350361107,40,1,Basic,319,0.2280390318219372,North,No,1
1028,50.0,Female,67223.11176812154,3703.8367716375224,38,0,Standard,197,0.15595147208270632,South,No,0
1029,29.0,Non-binary,49404.10983426985,3477.9965428565883,3,1,Basic,288,0.9096571317148762,South,No,1
1030,39.0,Female,36268.380539875056,207.13140769775578,16,2,Basic,22,0.9978315355658125,South,No,0
1031,61.0,Female,28609.75766824557,4562.409402489256,8,3,Basic,348,0.5923278504248466,Central,No,1
1032,42.0,Male,62261.91880058844,1156.2208078871336,45,0,Premium,103,0.7271301636059737,North,No,0
1033,66.0,Male,62629.75815321129,3182.4008829941213,5,4,Standard,125,0.4204914334424198,Central,Yes,0
1034,44.0,Non-binary,69553.23613406827,402.9133107559539,38,4,Basic,325,0.8618039941590339,South,No,1
1035,59.0,Female,59918.104094656876,499.4778501730671,35,1,Basic,129,0.3467026785685299,South,No,0
1036,45.0,Female,15000.0,146.92875103759852,8,3,Basic,294,0.019212116324527684,South,Yes,0
1037,33.0,Female,62551.51161770366,2873.04545827212,36,3,Basic,269,0.03811415591291578,Central,Yes,1
1038,32.0,Non-binary,33138.13803237159,3183.960381122833,25,5,Basic,335,0.8255860102269673,East,No,1
1039,64.0,Female,26984.23002760478,347.2652858428209,49,1,Standard,164,0.4208316848124668,East,Yes,0
1040,68.0,Male,25177.68071617756,1523.3759353437906,8,2,Premium,343,0.967728486513601,East,No,0
1041,61.0,Non-binary,23797.180410371922,4272.126629472282,21,2,Standard,67,0.41763024629745393,North,No,0
1042,72.0,Male,59184.67152873473,596.4109974322791,46,4,Standard,28,0.9459567944706597,North,No,0
1043,69.0,Male,44032.2363862894,1161.081106311323,9,4,Standard,18,0.47054368270270996,South,No,0
1044,74.0,Non-binary,32213.42063136154,2179.5169215148926,32,3,Basic,145,0.7217083987378122,South,No,0
1045,20.0,Male,55346.23833553607,4227.143102902268,44,1,Basic,219,0.2932232799485327,West,No,0
1046,54.0,Female,,1348.7603669285006,13,2,Basic,158,0.5488843588255305,East,No,0
1047,68.0,Non-binary,69716.06385818071,4985.971375280376,23,1,Basic,212,0.3255648956110453,Central,No,0
1048,24.0,Male,76753.29060750562,1840.7828843787888,8,2,Basic,323,0.6769173861750675,Central,No,0
1049,,Female,51735.9664633103,1993.5984265697532,35,2,Standard,185,0.22780801616593693,West,No,0
1050,26.0,Female,75659.11579762702,698.3204007308922,28,5,Basic,121,0.3579112846177457,East,No,0
1051,56.0,Male,75633.8614097861,3432.9697141970005,15,2,Standard,144,0.6339414716957049,South,No,0
1052,35.0,Female,56269.116155694166,1292.9793956439598,29,3,Premium,21,0.30367562126699654,East,No,0
1053,21.0,Non-binary,81001.80199907202,3181.451216945727,4,1,Basic,328,0.2791521548329494,East,Yes,0
1054,42.0,Male,,1193.4728691743403,34,1,Basic,261,0.380376103527445,Central,No,0
1055,31.0,Female,25671.17261362642,2000.574109409693,37,4,Basic,72,0.6216664345533651,Central,No,0
