CustomerID,Age,Gender,Tenure_Months,Monthly_Bill_GBP,Data_Usage_GB,Call_Duration_Mins,Support_Calls,Contract_Type,Payment_Method
TEL-1608,73,Non-binary,34,39.26,6.78,686.0,3,One year,Credit card
TEL-1848,79,Non-binary,63,51.47,4.56,821.0,1,Two year,Electronic check
TEL-2397,79,Male,60,19.16,1.89,147.0,0,One year,Bank transfer
TEL-2186,49,Non-binary,7,27.78,0.73,126.0,0,One year,Credit card
TEL-2086,43,Male,53,31.88,2.84,133.0,0,Two year,Bank transfer
TEL-2961,49,Non-binary,72,60.38,15.51,596.0,8,Two year,Mailed check
TEL-2494,22,Male,10,28.31,2.3,140.0,1,One year,Electronic check
TEL-1413,79,Male,40,37.74,8.94,763.0,3,Two year,Credit card
TEL-2092,76,Female,29,31.8,1.07,144.0,0,One year,Mailed check
TEL-1300,83,Female,20,70.3,458.98,24.0,0,Two year,Mailed check
TEL-1846,29,Non-binary,63,58.11,4.76,1106.0,1,One year,Mailed check
TEL-2187,30,Female,22,34.93,1.79,61.0,1,Month-to-month,Electronic check
TEL-1390,61,Male,31,98.63,481.32,73.0,1,One year,Bank transfer
TEL-2193,26,Non-binary,52,24.85,2.21,91.0,0,Month-to-month,Electronic check
TEL-2894,81,Female,40,69.2,28.65,98.0,6,Two year,Mailed check
TEL-1564,40,Female,36,53.85,7.37,724.0,1,Two year,Mailed check
TEL-1069,58,Male,29,95.71,438.91,39.0,0,Month-to-month,Mailed check
TEL-2949,53,Male,46,59.91,21.6,148.0,5,Month-to-month,Mailed check
TEL-1258,70,Male,24,88.08,410.87,21.0,2,Month-to-month,Credit card
TEL-1317,25,Non-binary,36,75.82,397.64,33.0,0,Two year,Bank transfer
TEL-1810,46,Female,47,65.06,1.55,505.0,4,One year,Credit card
TEL-1911,68,Female,5,37.42,0.82,801.0,0,One year,Electronic check
TEL-1951,25,Male,47,45.29,3.69,546.0,0,Month-to-month,Credit card
TEL-2051,78,Non-binary,41,27.83,1.4,111.0,0,Month-to-month,Mailed check
TEL-2161,79,Non-binary,7,25.47,2.76,15.0,0,Two year,Mailed check
TEL-2705,20,Male,33,31.23,2.2,64.0,0,Two year,Electronic check
TEL-1968,53,Male,49,54.69,5.59,700.0,2,One year,Bank transfer
TEL-2806,71,Non-binary,68,54.48,28.04,271.0,4,One year,Mailed check
TEL-1762,26,Male,66,50.79,6.36,866.0,3,Two year,Bank transfer
TEL-1957,54,Non-binary,19,56.76,6.44,788.0,0,Two year,Electronic check
TEL-1783,57,Non-binary,40,36.19,8.48,803.0,3,Two year,Credit card
TEL-2316,51,Male,8,24.68,0.23,55.0,0,Two year,Bank transfer
TEL-1279,26,Male,27,73.66,409.71,80.0,1,One year,Mailed check
TEL-2993,46,Female,48,57.32,0.0,213.0,5,Month-to-month,Mailed check
TEL-1096,82,Male,66,91.1,431.33,57.0,1,Month-to-month,Bank transfer
TEL-2909,25,Non-binary,24,68.53,34.24,301.0,9,Month-to-month,Credit card
TEL-1601,55,Non-binary,27,41.94,6.01,810.0,1,Month-to-month,Bank transfer
TEL-2241,59,Male,1,23.74,2.74,69.0,0,One year,Electronic check
TEL-1061,65,Male,49,78.13,509.2,79.0,1,Month-to-month,Electronic check
TEL-1987,47,Male,41,52.16,5.44,762.0,4,Month-to-month,Bank transfer
TEL-1834,53,Male,57,58.92,6.64,922.0,0,One year,Bank transfer
TEL-2764,82,Non-binary,42,25.67,0.75,69.0,2,One year,Bank transfer
TEL-1695,73,Male,27,57.87,6.25,893.0,0,Month-to-month,Electronic check
TEL-1062,32,Female,53,101.24,467.09,25.0,2,Two year,Mailed check
TEL-1918,62,Female,34,44.82,5.6,776.0,4,Month-to-month,Mailed check
TEL-1268,84,Male,12,94.72,488.03,52.0,2,Month-to-month,Electronic check
TEL-2384,32,Non-binary,35,25.59,0.78,37.0,0,One year,Electronic check
TEL-2315,32,Female,8,21.9,2.4,41.0,0,Two year,Electronic check
TEL-2492,27,Non-binary,39,26.91,1.28,105.0,0,Two year,Bank transfer
TEL-2886,69,Non-binary,22,61.79,28.47,301.0,5,Two year,Electronic check
TEL-2023,71,Female,36,17.5,0.57,85.0,0,One year,Credit card
TEL-1805,32,Non-binary,14,41.44,5.08,945.0,2,Month-to-month,Mailed check
TEL-2807,69,Female,16,69.43,20.71,98.0,6,Two year,Mailed check
TEL-2352,28,Male,13,22.45,2.52,146.0,0,One year,Bank transfer
TEL-1191,24,Non-binary,33,83.49,484.58,74.0,0,One year,Bank transfer
TEL-2052,60,Male,54,26.31,0.18,71.0,1,Month-to-month,Electronic check
TEL-2765,84,Non-binary,65,34.85,1.51,149.0,0,Two year,Mailed check
TEL-2454,59,Male,58,22.77,1.34,40.0,1,One year,Mailed check
TEL-2612,32,Non-binary,35,29.46,1.46,134.0,0,Month-to-month,Credit card
TEL-2302,44,Non-binary,39,19.63,2.49,146.0,1,Two year,Credit card
TEL-2857,80,Non-binary,61,81.78,3.88,319.0,7,Month-to-month,Electronic check
TEL-1368,75,Female,72,81.71,361.55,62.0,1,Two year,Bank transfer
TEL-1922,36,Non-binary,68,43.75,6.05,984.0,2,One year,Bank transfer
TEL-2559,48,Male,55,21.37,1.78,52.0,0,Month-to-month,Mailed check
TEL-1221,38,Female,61,81.63,436.17,26.0,3,One year,Electronic check
TEL-1900,39,Non-binary,52,43.71,3.0,761.0,1,One year,Mailed check
TEL-2069,64,Male,22,23.94,2.21,73.0,0,Two year,Bank transfer
TEL-2929,48,Male,46,68.05,29.0,253.0,6,One year,Electronic check
TEL-2222,57,Non-binary,31,20.79,1.52,86.0,0,Month-to-month,Credit card
TEL-2253,63,Male,12,32.08,0.61,98.0,0,Month-to-month,Bank transfer
